,location,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,gdp_per_capita
198,South America,15440052858,54528768,467072609,1250520,0,0,0,0,0,0,0,0,1.36909E+11,76646473072,54055658142,8421842055,749735427,31526.92,17649.88,12447.86,1939.38,3.22655E+11,0,0
199,South Korea,176898855,4456263,1376753,8957,819.06,63098211,11134424858,217023.378,1229.864,61586742,15.4422,99877.2,18823339199,9550407789,7612526317,2030163869,119441526,36688.95,18614.89,14837.78,3956.95,39710212416,408646.458,27816301.48
200,South Sudan,5371417,16999,60236,137,597.86,58104,17388205,1527.777,5.102,320396,22.5439,36061.8,5354047,4336918,2812798,0,7489,47.06,38.12,24.71,0,7966963900,0,1098921.6
201,Spain,2274645715,11185264,43397197,101154,843.98,85779178,24679897205,527966.326,1835.043,85495212,78.41,11544.9,13582516046,7344646895,6457253022,1165018824,63202201,29056.49,15712.1,13813.7,2492.29,35713341204,71132.22,26184083.04
202,Sri Lanka,147989038,649632,3114636,16321,731.26,7401164,2019966418,93963.7,344.272,7377918,45.4407,39494.7,6023743103,3182665203,2400366460,374136081,32945673,28020.97,14804.94,11165.93,1740.39,16531428314,262963.395,8973520.213
203,Sudan,19682656,61582,1351109,3912,612.07,0,562941,12.535,0,0,0,0,39877801,31404282,12335549,0,45572,88.79,69.93,27.49,0,32469460773,16815.534,3229284.561
204,Suriname,14430210,78487,301528,1318,663.36,79472,5645232,9539.123,134.295,77751,47.972,1355.2,66964330,40850724,25866444,217572,342936,11315.36,6902.78,4370.77,36.76,427278156,2607.864,9939859.918
205,Sweden,519477480,2455966,7575767,17768,852.17,17991008,4894745030,481758.698,1770.727,17918691,59.4734,14437,676840915,328968637,273964022,24776517,143948,6661.75,3237.87,2696.45,243.85,7762361476,18884.552,35869252.21
206,Switzerland,438049622,2890568,5392860,13324,831.55,18871544,4262273791,489045.576,2165.285,18717143,70.484,19774.5,3304779962,1633600042,1452742515,249740557,15575507,37918.45,18743.63,16668.48,2865.07,6449465560,158539.82,42483522.84
207,Syria,14287949,54963,898392,3092,667.16,0,0,0,0,0,0,0,28988794,15288104,11283572,3046,0,158.62,83.66,61.73,0.02,13048852656,0,0
208,Taiwan,4921620,20799,223377,853,658.2,6416041,1054848939,44219.187,268.959,6360887,3.301,596359.5,4615560475,2790890957,1585661052,238434357,37272450,19348.38,11699.38,6647.11,999.56,18606906240,0,0
209,Tajikistan,8706227,17786,62966,125,372.11,0,0,0,0,0,0,0,150664860,86075347,57692847,2386,124745,1545.32,882.83,591.71,0.02,6571247250,43325.394,1952519.362
210,Tanzania,5010701,33620,128989,798,68.4,0,455776,7.411,0,0,0,0,11561245,7197187,9894541,0,0,18.8,11.71,16.1,0,44278875360,46583.28,1931978.88
211,Thailand,441627969,3026709,4129663,23237,760.84,20470260,4446529663,63566.47,292.635,20290636,52.7517,323874.5,16972453811,8871603253,6815027688,1285822751,108987647,24263.38,12682.7,9742.55,1838.21,55401068448,107024.544,12891915.43
212,Timor,4880311,22741,24870,129,369.35,9154,5850088,4353.152,6.812,100782,19.4571,35240.5,27570636,16813419,10720546,0,7881,2051.59,1251.11,797.75,0,959526750,62243.664,4691052.828
213,Togo,8588127,36815,82475,272,698.55,693303,201497696,23766.45,81.764,690561,30.1964,35815.2,34971004,21967013,12954728,0,0,412.51,259.1,152.78,0,6206073144,104943.912,1046623.116
214,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,3857,2889,968,0,0,281.94,211.18,70.76,0,155952,0,0
215,Tonga,7329,898,0,0,0,0,0,0,0,0,0,0,1974092,1166419,807673,0,0,1849.08,1092.58,756.56,0,34162880,48008.96,1736198.72
216,Trinidad and Tobago,20193011,129963,568277,3652,663.83,335473,54121148,38565.024,239.052,353090,67.4191,13106.1,281407777,152672164,127197054,8594635,1505414,20052.29,10878.76,9063.56,612.44,1013236028,192691.692,20766937.26
217,Tunisia,235703528,1005167,7905987,27922,744.66,949460,400723473,33573.349,79.549,3218027,63.4096,3570.8,1911039948,1140977789,885258165,83282749,8530717,16011.06,9559.36,7416.83,697.75,8736979248,54334.896,7941685.404
218,Turkey,2885426061,13502992,25882604,95379,769.05,145676988,34123687420,401253.409,1712.988,144458704,50.6205,17437,30409025997,14690344324,11789006748,3879937506,143616939,35757.35,17274.14,13862.38,4562.34,61655983600,76062.65,18218772.23
219,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,7632722,4406934,3225788,0,0,124.76,72.04,52.73,0,1119581739,2242.299,2999191.209
220,Turks and Caicos Islands,1333368,5868,9583,36,0,0,0,0,0,0,0,0,879353,499081,393360,0,0,2241.78,1272.33,1002.8,0,27772008,26416.896,0
221,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,51528,34166,17362,0,0,432.11,286.51,145.6,0,2134575,66778.993,639943.616
222,Uganda,41584606,163488,854749,3596,671.4,2110217,647182943,13733.738,44.78,2459704,37.8794,72978.2,175373261,110427393,15596970,0,720077,372.19,234.36,33.09,0,33693326095,152837.685,1213860.505
223,Ukraine,1186752464,5040518,27549906,112459,758.97,13377389,4268844857,98209.266,307.756,19091857,132.9116,5287,4357666978,2392225901,1951609752,17818831,31683151,10025.27,5503.56,4489.95,40.98,31861180526,56726.87,5786590.069
224,United Arab Emirates,288920661,882477,866645,2301,749.69,139324445,32392174102,3242108.394,13944.887,138120306,6.0033,437747.5,5419945088,1056587570,1483218100,470859692,20204848,54247.83,10575.3,14845.39,4712.79,7663160661,86243.014,51614101.46
225,United Kingdom,3491039365,18331636,68250205,161031,798.29,465962237,1.06706E+11,1564441.622,6831.574,464432876,29.2712,52932.3,33478854536,16973027351,12849471764,3656355421,137349476,49084.13,24884.54,18838.95,5360.69,52178442210,208766.97,30411231.66
226,United States,19602085299,79265725,328595888,958437,804.61,820619379,2.46816E+11,741377.813,2464.96,817663123,63.613,11513.9,1.41978E+11,74097087582,61355837118,9165244786,554839330,42763.19,22317.78,18480.16,2760.51,2.57676E+11,27560.592,41970495.2
228,Uruguay,141935394,853191,1902227,7040,760.53,5728737,1305675683,374639.52,1643.754,5701187,56.0372,52732.2,1743585792,802310395,690398003,250911859,7622054,50028.97,23020.89,19809.8,7199.36,2519764896,14279.973,14858668.71
229,Uzbekistan,70188138,236840,508572,1637,732.33,0,0,0,0,0,0,0,2708970853,1019995261,160174400,0,15127072,7982.64,3005.71,471.98,0,24467686565,54892.614,4508487.984
230,Vanuatu,2017,19,319,1,0,0,0,0,0,0,0,0,2225477,1505792,719685,0,0,707.68,478.81,228.88,0,151257184,10900.422,1405438.229
231,Vatican,16106,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592760,0,0
232,Venezuela,142763259,516578,1598050,5653,750.4,0,0,0,0,0,0,0,347134856,207766079,128363753,612964,0,1209.33,723.8,447.17,2.13,20724971734,26174.666,12089905.88
233,Vietnam,292053709,4232520,5337545,40911,716.55,27972293,9606638182,97858.34,284.94,32151623,27.5101,3819.7,15310665672,7937813005,1781534994,563584657,121266935,15596.16,8085.88,1814.79,574.09,75884504817,238182.171,4770866.332
234,Wallis and Futuna,160319,454,2338,7,0,0,0,0,0,0,0,0,339704,185387,154317,0,0,3062.04,1671.06,1390.98,0,5580282,0,0
236,Yemen,3492081,11776,720863,2135,624.35,0,0,0,0,0,0,0,8954613,7283422,2979965,0,0,29.35,23.88,9.78,0,21190994105,37188.06,1028007.165
237,Zambia,74258843,313744,1152273,3958,679.29,3207173,900976944,47618.693,169.508,3268281,53.7394,42808.1,166384929,20111016,100529218,85147,1321156,879.43,106.3,531.3,0.45,13585031726,16510.41,2648882.218
238,Zimbabwe,46061622,239025,1405534,5397,699.27,1854525,410857404,27223.208,122.874,2071327,50.6544,26191.6,1382183704,800969804,576844712,4369188,7100774,9158.35,5307.26,3822.1,28.94,10805994436,30593.964,1360238.9
